City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
353,Qeshm,IR,73.29,overcast clouds,26.9581,56.2719,هتل آپادانا
360,Cockburn Town,TC,80.71,light rain,21.4612,-71.1419,The Salt Raker Inn
361,Karang Tengah,ID,85.44,overcast clouds,-7.5787,111.8642,Istana Hotel & Restauran
364,Denpasar,ID,83.86,scattered clouds,-8.65,115.2167,Hotel Candra Adiguna
369,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
372,Kumasi,GH,71.35,few clouds,6.6885,-1.6244,Golden Tulip Hotel
383,Sao Filipe,CV,74.16,clear sky,14.8961,-24.4956,Bela Vista
401,Isangel,VU,85.75,light rain,-19.55,169.2667,Tanna Lodge
407,Santa Maria,BR,72.7,clear sky,-29.6842,-53.8069,Hotel Morotin
422,Santiago Del Estero,AR,79.0,broken clouds,-27.7951,-64.2615,Nuevo Hotel Brístol
426,Quelimane,MZ,71.55,light intensity drizzle,-17.8786,36.8883,Mabassa
429,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,Andaman Ocean Breeze
434,Bryan,US,70.88,clear sky,30.6744,-96.37,The Lasalle Hotel
450,Sri Aman,MY,82.45,few clouds,1.2376,111.4621,Mega Inn
455,Luganville,VU,86.56,broken clouds,-15.5333,167.1667,Beachfront Resort
465,Marsh Harbour,BS,77.18,scattered clouds,26.5412,-77.0636,Lofty Fig Villas
468,Isla Mujeres,MX,80.17,light rain,21.2311,-86.731,Villa La Bella
474,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,The Adventures Inn
476,Grand Baie,MU,77.45,overcast clouds,-20.0182,57.5802,Safari
478,Nampula,MZ,71.78,overcast clouds,-15.1165,39.2666,Hotel Lurio
487,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
488,Guatire,VE,75.2,overcast clouds,10.4762,-66.5427,Grand Hotel
490,Unai,BR,70.38,scattered clouds,-16.3575,-46.9061,Hotel Fazenda Curva do Rio
492,Impfondo,CG,70.07,moderate rain,1.6381,18.0667,Tropicana
493,Muscat,OM,75.38,few clouds,23.6139,58.5922,البطاشي
495,Atambua,ID,83.88,broken clouds,-9.1061,124.8925,Hotel Matahari
503,Pangkalanbuun,ID,89.51,broken clouds,-2.6833,111.6167,Hotel Tiara
508,Byron Bay,AU,70.95,heavy intensity rain,-28.65,153.6167,Lord Byron Resort
510,Shimoda,JP,73.76,overcast clouds,34.6667,138.95,ホテルウラガ
515,Geraldton,AU,75.61,broken clouds,-28.7667,114.6,Ocean Centre Hotel
517,Piacabucu,BR,74.12,heavy intensity rain,-10.4056,-36.4344,O Leão
520,Neiafu,TO,79.9,scattered clouds,-18.65,-173.9833,Port Wine Guest House
522,Puerto Maldonado,PE,77.67,broken clouds,-12.6,-69.1833,Puerto Palmeras
525,Thakurgaon,BD,72.0,clear sky,26.0333,88.4667,Hotel address inn
529,Miri,MY,84.34,scattered clouds,4.4148,114.0089,Kenyalang Suites Miri
531,Sharjah,AE,75.18,clear sky,25.3573,55.4033,shakeel bhai room
540,Itaituba,BR,72.93,broken clouds,-4.2761,-55.9836,TG Hotel
542,Aden,YE,78.67,clear sky,12.7794,45.0367,فندق قصر الجزيرة
543,Broken Hill,AU,76.19,clear sky,-31.95,141.4333,Ibis Styles
544,Catia La Mar,VE,78.49,few clouds,10.6038,-67.0303,Posada La Parada
545,Tagusao,PH,84.97,overcast clouds,9.1924,117.8141,"Shaman's Breath- Beach, Bed & Breakfast"
546,West Bay,KY,80.67,few clouds,19.3667,-81.4167,Bonnie's Arch
549,Tabou,CI,76.37,light rain,4.423,-7.3528,hôtel le rochet
551,Palmas Bellas,PA,75.25,overcast clouds,9.2319,-80.0867,ISHQ AirBnb
564,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Paladino
566,Basco,PH,81.1,overcast clouds,20.4487,121.9702,Tawsen Hotel
573,Gizo,SB,83.64,overcast clouds,-8.103,156.8419,Gizo Hotel
579,Manta,EC,71.76,broken clouds,-0.95,-80.7333,La Gaviota
581,Bom Jesus Do Itabapoana,BR,70.61,overcast clouds,-21.1339,-41.6797,Pitucão - Hotel e Restaurante
587,Clarence Town,AU,73.15,broken clouds,-32.5833,151.7833,Erringhi Hotel
589,Alice Springs,AU,80.15,clear sky,-23.7,133.8833,Aurora Alice Springs
592,Tapah,MY,82.31,overcast clouds,4.2004,101.2598,NH Hotel
593,Ratnagiri,IN,77.81,clear sky,16.9833,73.3,Vihar
594,Nizwa,OM,71.02,overcast clouds,22.9333,57.5333,Nizwa Heritage Inn
603,Soyo,AO,74.07,moderate rain,-6.1349,12.3689,Hotel Maria Teres
604,Sao Joao Da Barra,BR,73.78,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
606,Sokolo,ML,74.39,overcast clouds,14.7328,-6.1219,Mairie de la Commune de Sokolo
611,Vila Velha,BR,73.35,mist,-20.3297,-40.2925,Hotel Prainha
615,San Alberto,CO,74.23,overcast clouds,7.7611,-73.3922,El Rubio
624,Davila,PH,86.88,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
625,Leisure City,US,78.03,scattered clouds,25.4954,-80.4292,Uptown Suites Extended Stay Miami FL - Homestead
626,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
629,Charlestown,AU,73.02,broken clouds,-32.95,151.6667,Warners Bay Hotel
647,Cape Coast,GH,78.3,overcast clouds,5.1053,-1.2466,Mighty Victory Hotel
655,Sao Felix Do Xingu,BR,70.86,heavy intensity rain,-6.6447,-51.995,Hotel Terraço
658,Itarema,BR,76.24,overcast clouds,-2.9248,-39.9167,Pousada Oásis
664,Nueva Guinea,NI,71.1,overcast clouds,11.6876,-84.4562,Oasis
667,Maragogi,BR,75.02,moderate rain,-9.0122,-35.2225,Pousada Mariluz
669,Tual,ID,81.7,moderate rain,-5.6667,132.75,Suita
671,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,losmen Surya
680,Kuching,MY,84.42,scattered clouds,1.55,110.3333,Hotel Samudera
681,Limbang,MY,87.91,overcast clouds,4.75,115.0,Comfort Hotel
686,Matara,LK,79.2,scattered clouds,5.9485,80.5353,Villa Palm Breeze
693,Iquitos,PE,74.89,overcast clouds,-3.7481,-73.2472,Marfil del Amazonas
696,Qiongshan,CN,81.48,clear sky,20.0058,110.3542,全季酒店
