City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Hilo,US,19.7297,-155.09,81.28,88,100,8.05,overcast clouds
79,Mahebourg,MU,-20.4081,57.7,76.24,88,40,0.0,scattered clouds
80,Victoria,HK,22.2855,114.1577,77.97,89,35,18.01,scattered clouds
81,Plonsk,PL,52.6235,20.3755,35.76,84,79,9.44,broken clouds
82,Haimen,CN,23.1935,116.6142,71.49,78,100,28.79,overcast clouds
83,Katete,UG,-0.7818,29.7544,59.68,96,100,2.59,overcast clouds
84,Kiunga,PG,-6.1219,141.2906,93.25,47,97,3.04,overcast clouds
85,Juneau,US,58.3019,-134.4197,20.21,74,40,16.11,scattered clouds
86,Atuona,PF,-9.8,-139.0333,77.83,72,12,14.18,few clouds
87,Saldanha,ZA,-33.0117,17.9442,64.45,96,41,3.71,scattered clouds
88,Fukue,JP,32.6881,128.8419,48.56,71,75,21.85,broken clouds
89,Ribeira Grande,PT,38.5167,-28.7,60.78,91,60,3.0,broken clouds
90,Mar Del Plata,AR,-38.0023,-57.5575,67.08,97,75,11.99,thunderstorm with rain
91,Kapaa,US,22.0752,-159.319,80.92,75,0,4.61,clear sky
92,Butaritari,KI,3.0707,172.7902,81.03,75,16,10.09,few clouds
93,Mudgee,AU,-32.5943,149.5871,72.79,39,40,5.61,scattered clouds
94,Laguna,US,38.421,-121.4238,50.31,56,0,0.0,clear sky
95,Faya,SA,18.3851,42.4509,51.91,68,0,0.63,clear sky
96,Chapais,CA,49.7834,-74.8492,13.78,90,100,10.51,overcast clouds
97,Roros,NO,62.5747,11.3842,26.44,80,100,2.3,overcast clouds
98,Albany,US,42.6001,-73.9662,32.65,78,100,1.99,overcast clouds
99,Teluk Nibung,ID,3.001,99.8164,84.7,65,58,3.51,broken clouds
100,Manono,CD,-7.3,27.4167,66.4,98,99,1.59,overcast clouds
101,Arraial Do Cabo,BR,-22.9661,-42.0278,73.24,91,97,21.72,overcast clouds
102,Hualmay,PE,-11.0964,-77.6139,67.73,81,100,6.4,overcast clouds
103,Severo-Kurilsk,RU,50.6789,156.125,39.36,99,100,8.55,light rain
104,Korla,CN,41.7597,86.1469,15.51,25,52,2.21,broken clouds
105,Biak,ID,-0.9131,122.8766,84.4,65,100,1.19,overcast clouds
106,Zeya,RU,53.75,127.2667,-6.48,69,65,5.26,broken clouds
107,Port Hardy,CA,50.6996,-127.4199,33.98,93,100,34.52,light snow
108,Saint-Pierre,RE,-21.3393,55.4781,75.9,60,0,5.75,clear sky
109,Salalah,OM,17.0151,54.0924,73.49,73,20,4.61,few clouds
110,Egvekinot,RU,66.3167,-179.1667,24.91,99,100,6.42,overcast clouds
111,Nouadhibou,MR,20.931,-17.0347,64.38,63,0,12.66,clear sky
112,Port Lincoln,AU,-34.7333,135.8667,63.68,59,31,9.98,scattered clouds
113,Machado,BR,-21.6747,-45.9197,61.66,95,100,2.91,overcast clouds
114,Smalininkai,LT,55.0735,22.5793,32.02,97,100,4.85,overcast clouds
115,Pevek,RU,69.7008,170.3133,7.81,95,100,8.63,light snow
116,Antofagasta,CL,-23.65,-70.4,63.68,80,39,2.44,scattered clouds
117,Xining,CN,36.6167,101.7667,14.2,38,100,3.29,overcast clouds
118,Mitsamiouli,KM,-11.3847,43.2844,77.49,78,42,7.27,scattered clouds
119,Kingisepp,RU,59.3733,28.6134,26.08,94,100,5.99,overcast clouds
120,Stende,LV,57.15,22.5333,29.19,91,100,4.38,overcast clouds
121,Tezu,IN,27.9167,96.1667,76.3,32,1,1.16,clear sky
122,Ponta Do Sol,PT,32.6667,-17.1,63.23,72,13,4.68,few clouds
123,Gizeh,EG,30.0081,31.2109,61.54,70,0,4.56,clear sky
124,Tara,RU,56.8944,74.371,-12.75,95,16,3.85,few clouds
125,Trinidad,BO,-14.8333,-64.9,81.79,45,69,3.22,broken clouds
126,Tura,IN,25.5198,90.2201,72.82,62,0,1.32,clear sky
127,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,41,5.21,scattered clouds
128,Vao,NC,-22.6667,167.4833,79.32,81,88,4.0,overcast clouds
129,Mporokoso,ZM,-9.3727,30.125,60.57,95,100,4.09,overcast clouds
130,Pakdasht,IR,35.4752,51.6807,51.8,44,99,1.25,overcast clouds
131,Da Nang,VN,16.0678,108.2208,84.18,70,20,3.44,few clouds
132,Ilembo,TZ,-9.25,33.3833,55.76,85,100,2.68,overcast clouds
133,Praia,CV,14.9215,-23.5087,73.94,73,20,13.8,few clouds
134,Port Alfred,ZA,-33.5906,26.891,68.88,84,2,2.44,clear sky
135,Mayumba,GA,-3.432,10.6554,75.97,86,100,3.85,overcast clouds
136,Mogadishu,SO,2.0371,45.3438,79.59,76,70,14.47,broken clouds
137,Digha,IN,21.6833,87.55,75.07,49,3,9.64,clear sky
138,Binabalian,PH,16.4202,119.9279,82.99,73,53,6.67,broken clouds
139,Tigil,RU,57.8,158.6667,23.54,71,100,22.79,overcast clouds
140,Luderitz,NA,-26.6481,15.1594,59.85,91,0,7.54,clear sky
141,Tabas,IR,33.5959,56.9244,50.22,40,97,2.3,overcast clouds
142,Channel-Port Aux Basques,CA,47.5702,-59.1367,29.59,66,78,20.22,broken clouds
143,Saint-Augustin,CA,51.226,-58.6502,9.45,80,8,12.82,clear sky
144,Road Town,VG,18.4167,-64.6167,78.89,71,7,17.31,clear sky
145,Along,IN,28.1667,94.7667,68.41,44,6,0.56,clear sky
146,Abha,SA,18.2164,42.5053,51.62,81,0,0.0,clear sky
147,Norman Wells,CA,65.282,-126.8329,-30.96,68,75,2.3,broken clouds
148,Nikolskoye,RU,59.7035,30.7861,26.49,90,100,4.72,overcast clouds
149,Lazaro Cardenas,MX,17.9583,-102.2,76.55,78,13,3.09,few clouds
150,Lavrentiya,RU,65.5833,-171.0,30.78,98,100,11.63,light snow
151,Bacolod,PH,10.6667,122.95,85.96,69,89,15.03,overcast clouds
152,Namatanai,PG,-3.6667,152.4333,85.26,66,100,5.35,overcast clouds
153,Barrow,US,71.2906,-156.7887,6.82,72,100,14.97,overcast clouds
154,Kaitangata,NZ,-46.2817,169.8464,59.9,62,100,12.93,overcast clouds
155,Shar,KZ,49.5886,81.0453,-8.95,81,100,4.14,overcast clouds
156,Raudeberg,NO,61.9875,5.1352,43.86,67,100,10.2,overcast clouds
157,Tuatapere,NZ,-46.1333,167.6833,49.75,90,93,15.73,overcast clouds
158,Worcester,US,42.3334,-71.8328,33.85,90,100,1.01,overcast clouds
159,Zhigansk,RU,66.7697,123.3711,-41.03,100,97,5.12,overcast clouds
160,Diamantino,BR,-14.4086,-56.4461,76.14,56,20,5.1,few clouds
161,Garowe,SO,8.4054,48.4845,67.55,76,1,9.89,clear sky
162,Bukachacha,RU,52.9833,116.9167,-12.3,67,100,5.53,overcast clouds
163,Tahe,CN,52.3333,124.7333,-8.16,74,100,11.99,overcast clouds
164,Thompson,CA,55.7435,-97.8558,-0.24,78,100,19.57,light snow
165,Cayenne,GF,4.9333,-52.3333,73.44,94,100,1.14,overcast clouds
166,Bilma,NE,18.6853,12.9164,60.46,43,1,7.92,clear sky
167,Arbazh,RU,57.6804,48.3065,0.46,98,45,3.6,scattered clouds
168,Esperance,AU,-33.8667,121.9,76.6,40,100,13.89,light rain
169,Cidreira,BR,-30.1811,-50.2056,70.54,90,41,15.39,scattered clouds
170,Upernavik,GL,72.7868,-56.1549,5.38,95,100,14.97,light snow
171,Mwanza,TZ,-2.5167,32.9,68.05,88,40,0.0,thunderstorm
172,Ginda,IN,30.6945,78.4932,55.18,23,0,3.15,clear sky
173,Shelburne,CA,44.0787,-80.2041,38.59,91,100,17.65,overcast clouds
